dataset,sweep,rank,threshold,f1,precision,recall,tp,fp,fn
bbc,fine,116,0.153,0.9587563451776651,0.9828707718993929,0.9357968620974402,4533,79,311
bbc,fine,117,0.152,0.9586637065228882,0.9824485373781149,0.9360033030553262,4534,81,310
bbc,fine,118,0.036,0.9586558044806518,0.9459405144694534,0.9717175887696119,4707,269,137
bbc,fine,119,0.154,0.9586374695863745,0.9830765892818398,0.935383980181668,4531,78,313
bbc,fine,120,0.035,0.9583630255522753,0.9453705563366138,0.9717175887696119,4707,272,137
bbc,fine,121,0.155,0.9581966345645041,0.9830618892508143,0.9345582163501238,4527,78,317
bbc,fine,122,0.156,0.958086367485182,0.9830582102519548,0.9343517753922378,4526,78,318
bbc,fine,123,0.034,0.9575917827722973,0.9436760873922629,0.9719240297274979,4708,281,136
bbc,fine,124,0.157,0.9575346817748597,0.9830397912589693,0.9333195706028076,4521,78,323
bbc,fine,125,0.158,0.957074721780604,0.9834458723589632,0.9320809248554913,4515,76,329
bbc,fine,126,0.161,0.9570474069360482,0.9840785169029443,0.9314616019818331,4512,73,332
bbc,fine,127,0.16,0.9569550466497032,0.9836530078465562,0.9316680429397193,4513,75,331
bbc,fine,128,0.159,0.9568535990671049,0.9834386576596208,0.9316680429397193,4513,76,331
bbc,fine,129,0.033,0.9568221070811745,0.9419883976795359,0.9721304706853839,4709,290,135
bbc,fine,130,0.162,0.9567154678548695,0.9840680925360105,0.9308422791081751,4509,73,335
bbc,fine,131,0.163,0.9565863496444114,0.9844876556696526,0.9302229562345169,4506,71,338
bbc,fine,132,0.032,0.9562569775702833,0.9405070872429626,0.9725433526011561,4711,298,133
bbc,fine,133,0.164,0.9561431453753849,0.9844740870325825,0.9293971924029728,4502,71,342
bbc,fine,134,0.165,0.9559214020180563,0.9844672938087946,0.9289843104872006,4500,71,344
