rank,mode,temperature,sigma,threshold,min_distance,prominence,f1,precision,recall,tp,fp,fn,key
37,peak,0.5,2.5,0.121,16,0.0,0.7620070778564206,0.6998258850841556,0.8363157164655292,6029,2586,1180,peak|T=0.5|sigma=2.5|thr=0.121|dist=16|prom=0
38,segment,0.5,2.0,0.137,0,0.0,0.7619630400195815,0.6817037118142998,0.8636426688861146,6226,2907,983,segment|T=0.5|sigma=2|thr=0.137|dist=0|prom=0
39,peak,0.5,2.0,0.138,16,0.0,0.7619407687460618,0.6980718161875072,0.8386738798723817,6046,2615,1163,peak|T=0.5|sigma=2|thr=0.138|dist=16|prom=0
40,segment,0.38780461844336944,2.5,0.118,0,0.0,0.7618494873283033,0.7118582791033984,0.8193924261339992,5907,2391,1302,segment|T=0.38780462|sigma=2.5|thr=0.118|dist=0|prom=0
41,segment,0.5,2.0,0.136,0,0.0,0.7617010876206769,0.6806814458883914,0.8646136773477597,6233,2924,976,segment|T=0.5|sigma=2|thr=0.136|dist=0|prom=0
42,peak,0.5,2.0,0.137,16,0.0,0.7613715004718464,0.6966382684780106,0.8393674573449854,6051,2635,1158,peak|T=0.5|sigma=2|thr=0.137|dist=16|prom=0
43,peak,0.5,2.0,0.139,24,0.0,0.7613176651897515,0.7087517934002869,0.8223054515189346,5928,2436,1281,peak|T=0.5|sigma=2|thr=0.139|dist=24|prom=0
44,peak,0.5,2.5,0.118,16,0.0,0.7612700408676517,0.6961821527138914,0.8397836038285477,6054,2642,1155,peak|T=0.5|sigma=2.5|thr=0.118|dist=16|prom=0
45,peak,0.5,2.0,0.136,16,0.0,0.761007474404874,0.6953627180899908,0.8403384658066306,6058,2654,1151,peak|T=0.5|sigma=2|thr=0.136|dist=16|prom=0
46,segment,0.5,2.0,0.135,0,0.0,0.7609226263119355,0.6792678941061118,0.8648911083368013,6235,2944,974,segment|T=0.5|sigma=2|thr=0.135|dist=0|prom=0
47,peak,0.5,2.0,0.138,24,0.0,0.7607078738137985,0.7072850840586622,0.8228603134970176,5932,2455,1277,peak|T=0.5|sigma=2|thr=0.138|dist=24|prom=0
48,segment,0.38780461844336944,2.5,0.1,0,0.0,0.7606773751712115,0.6900485711058398,0.8474129560271882,6109,2744,1100,segment|T=0.38780462|sigma=2.5|thr=0.1|dist=0|prom=0
49,segment,0.38780461844336944,2.5,0.121,0,0.0,0.760546950942907,0.7136949647287765,0.8139825218476904,5868,2354,1341,segment|T=0.38780462|sigma=2.5|thr=0.121|dist=0|prom=0
50,peak,0.5,2.0,0.135,16,0.0,0.7603990212685865,0.6941580756013745,0.8406158967956721,6060,2670,1149,peak|T=0.5|sigma=2|thr=0.135|dist=16|prom=0
51,segment,0.5,2.0,0.134,0,0.0,0.760175481355106,0.6778224492013474,0.8653072548203634,6238,2965,971,segment|T=0.5|sigma=2|thr=0.134|dist=0|prom=0
52,peak,0.5,2.0,0.137,24,0.0,0.7600998783532876,0.7058263971462545,0.8234151754751006,5936,2474,1273,peak|T=0.5|sigma=2|thr=0.137|dist=24|prom=0
53,peak,0.5,2.5,0.121,24,0.0,0.7600077105956435,0.7079243476179076,0.8203634345956443,5914,2440,1295,peak|T=0.5|sigma=2.5|thr=0.121|dist=24|prom=0
54,peak,0.5,2.0,0.134,16,0.0,0.7599949868404561,0.6931077837467139,0.841170758773755,6064,2685,1145,peak|T=0.5|sigma=2|thr=0.134|dist=16|prom=0
55,peak,0.5,2.0,0.15,0,0.0,0.7597854897367935,0.6837142223208342,0.8549035927313081,6163,2851,1046,peak|T=0.5|sigma=2|thr=0.15|dist=0|prom=0
56,peak,0.5,2.0,0.136,24,0.0,0.7597801073894146,0.7045643153526971,0.8243861839367458,5943,2492,1266,peak|T=0.5|sigma=2|thr=0.136|dist=24|prom=0
57,peak,0.5,2.5,0.118,24,0.0,0.7592864906335912,0.7042220113851992,0.823692606464142,5938,2494,1271,peak|T=0.5|sigma=2.5|thr=0.118|dist=24|prom=0
